piloto_id,nombre,caso,tipo,driver_id,passenger_id,activado_piloto,activado_pasajero,calif_gamification,calif_app,activacion_express,vc_n_cancel_piloto,vc_n_finalizados,vc_n_otros_atribuibles,vc_n_no_atribuibles,vn_n_finalizados,vn_n_sin_novedad_a_tiempo,dias_antiguedad,n_finalizados,n_cancel_piloto,n_cancel_pasajero,n_cancel_plataforma,n_otros_atribuibles,n_sin_novedad_a_tiempo,n_alto_valor,n_alto_valor_ok,n_res_cumplidas,n_res_incumplidas_atrib,n_res_cancel_atrib,n_res_no_atrib,n_calificados,suma_calificaciones
P001,Ana María Restrepo,buen comportamiento sostenido,B2B,b382486493f33b1ba42dd34f,34d2f4e5bba58f241a85097c,2024-03-29,2024-03-03,4.69,4.58,0,5,364,0,24,781,685,900,180,3,12,1,,172,25,25,30,1,0,2,190,942
P002,Bruno Cárdenas,"piloto nuevo (12 días), pocos servicios, activación express",RENT,217bbe004b4f22efc6ae9394,b70ca1c472b56c148f312728,2026-09-03,2026-07-25,2.6,3.67,1,1,6,0,2,,,12,6,1,2,,,,,,,,,,3,14
P003,Carla Jiménez,suspensión antigua + muchas finalizaciones,RENT,a636e2ff4053681f31f81b32,bb1d3f6947697bd503404df8,2022-08-07,2022-04-03,3.64,4.58,0,17,801,0,120,,,1500,400,10,60,2,,,,,,,,,426,2087
P004,Diego Salazar,comportamiento negativo reciente,B2C,d741d3e14dbe00ee6c82a747,8e828314505dd14834312657,2025-08-11,2025-06-08,2.83,3.66,0,18,84,0,10,147,117,400,40,9,5,,1,30,8,5,,,,,48,197
P005,Elena Quintero,alto valor con muchas novedades,B2B,4d4853c02612d40c776462be,02962f132922ad7724e4cd20,2024-10-15,2024-07-22,2.81,4.87,0,3,191,0,12,373,267,700,90,2,6,,,70,40,28,10,4,0,1,95,446
P006,Fabián Ospina,múltiples suspensiones + IMEI baneado,RENT,9c9adad88e36b445bc574aca,c0c9e4ce10f0c75fa4edb061,2024-07-07,2024-02-21,4.04,3.86,0,47,262,0,30,,,800,120,20,15,1,2,,,,,,,,151,657
P007,Gloria Arango,piloto nuevo (3 días) con cero servicios: arranca en 0.0,B2C,7e5ba57b4db88ff131a5fc29,68269d84bd3ffb515e69ffeb,2026-09-12,2026-07-04,4.64,4.6,0,0,0,0,0,,,3,,,,,,,,,,,,,,
P008,Hugo Betancur,expulsión histórica (reintegrado),B2B,6539eca5fa9f55014d22dcb6,1d9c8d9a0e9013e4a9f464f4,2023-09-11,2023-04-23,2.56,3.82,0,10,90,0,8,201,175,1100,50,6,4,,,46,4,4,8,0,1,0,40,196
P009,Iván Zapata,una sola cancelación,RENT,e213ea24cd1e6b64fc0417c2,0daa7b3b5d713348c47ca4a3,2025-01-23,2024-12-09,4.84,4.94,0,1,189,0,20,,,600,100,1,10,,,,,,,,,,96,466
P010,Julia Moreno,muchos servicios de alto valor bien atendidos,B2C,de127b67c54c7d6c9e85ef0d,46f5a4d392790ae9c5ad6008,2024-02-08,2023-09-21,4.14,4.22,0,6,397,0,18,790,790,950,200,4,9,,,195,60,59,,,,,205,1019
P011,Kevin Patiño,cuenta nueva con tope por regla,B2B,98869eff213dbed2fb210bfc,1f3544cb4f35320728030140,2026-08-26,2026-03-25,3.85,4.74,0,0,25,0,1,24,24,20,25,0,1,,,24,2,2,5,0,0,0,11,53
P012,Laura Henao,recaudos pagados tarde y uno vencido,B2B,a58e81246f2f80cb2ed20eb2,28cc6bb819b7c50522f8e232,2025-05-03,2025-03-06,3.1,4.83,0,5,152,0,10,351,319,500,80,3,5,,,76,10,10,12,1,0,0,92,442
P101,Beatriz Flores,,B2B,79fb8473c8b2f3ef48db1bce,ccb577edac6342adf89561ac,2024-07-15,2024-04-24,2.51,4.0,1,9,91,0,12,169,167,792,44,4,6,0,0,43,2,2,13,0,0,0,58,269
P102,Ramiro García,,B2B,3a86d192327ed1278e7f94d9,974364102ab853e0abe60697,2025-04-13,2025-02-11,3.84,4.18,0,5,96,0,22,223,194,520,53,3,11,1,0,49,14,11,7,0,0,0,48,240
P103,Andrés Cruz,,B2B,b81dfd2cff5cd1a103145474,16075bc420ddc1f1edf2899b,2026-03-23,2025-10-23,3.46,4.75,1,8,139,0,1,155,129,176,73,4,1,0,0,64,7,6,23,3,0,4,81,372
P104,Ximena Vargas,,B2B,7f62ef630e20cf6778d7d9bb,d215e1a1902a4e1139bfa39a,2026-05-18,2026-01-20,2.81,4.51,0,3,97,0,6,112,93,120,78,3,5,0,0,70,7,7,19,4,0,4,44,200
P105,Sofía Ramírez,,B2B,9f8432d3cc6b6e8b5c08c8ed,d9f1a6458a13a5cd0de95fdc,2023-12-27,2023-07-26,4.63,4.81,0,11,105,0,20,197,182,993,54,5,10,0,0,45,17,14,23,4,0,0,53,258
P106,Flor López,,B2B,bdce88625a4b254656ec8373,c5a1b41ef44a436435d04124,2023-01-18,2022-09-22,4.44,4.81,0,8,99,0,22,190,184,1336,52,4,11,1,0,47,2,1,28,2,0,3,48,228
P107,Natalia Cruz,,B2B,0c4dbbec87d75ef9bcfd8d66,7b7137a56d912fa1baf1e729,2026-03-17,2025-11-08,3.62,4.65,0,0,37,0,6,33,31,182,18,0,3,0,0,16,0,0,27,2,0,0,22,108
P108,Natalia López,,B2B,bdb7731372b869659e3d52c1,b5e4748162c1d4ed72cce248,2025-04-13,2024-10-17,4.25,4.58,0,0,107,0,6,250,212,520,59,0,3,0,0,55,10,9,3,0,0,0,55,251
P109,Mateo Gómez,,B2B,84d6a9806eb9e543b0056bb9,18340a6de8613f205bdb3ab5,2025-07-04,2024-12-21,4.58,4.24,0,8,217,0,6,412,401,438,110,4,3,3,0,98,33,27,7,2,0,1,138,679
P110,Edwin Ramírez,,B2B,ae102a65dc7202bd510ddedf,0f50279a2ea476a48502d239,2022-11-21,2022-08-14,4.76,4.06,0,1,34,0,6,62,62,1394,17,1,3,0,0,16,2,1,8,0,0,0,17,85
P111,Lorena Ramírez,,B2B,4027922c4ad3f1644d020939,f9383fe21d136e9dc9581e41,2023-05-23,2022-12-14,3.03,4.81,0,3,72,0,4,166,140,1211,38,2,2,0,0,34,10,10,3,1,0,3,44,217
P112,Esteban Martínez,,B2B,2af966af7592904863910026,ba2661b9a3301f36ea27a6ab,2024-04-16,2024-04-16,4.45,4.83,0,5,103,0,20,180,162,882,48,3,10,0,0,41,14,12,11,1,0,4,62,290
P113,Gustavo Flores,,B2B,62de54b30af81fe0c0a55cf4,adf88d7d485453dcbd5c3ab7,2024-03-24,2024-03-16,3.51,4.13,1,18,100,0,22,180,176,905,49,8,11,0,0,42,15,10,18,6,0,2,48,229
P114,Beatriz Ortiz,,B2B,f28d9e291282194dfdc11755,00cf2e837d6488aef643bce7,2023-08-28,2023-05-02,4.94,4.67,0,17,264,0,8,586,515,1114,139,10,4,3,0,131,27,27,29,1,0,0,134,635
P115,Fernanda Mendoza,,B2B,ce041c1bebab8f01c4f41e5e,b2559f9dc1e2c1622619e8cf,2026-03-01,2025-12-05,2.51,4.12,0,1,51,0,8,56,56,198,28,1,4,0,0,26,2,1,11,0,0,2,30,144
P116,Ramiro Pérez,,B2B,ee49aa3e0cb1929ec58122e8,b071460e35c4256387e2068b,2025-08-05,2025-01-17,2.94,3.65,0,5,116,0,8,222,214,406,57,3,4,1,0,54,10,9,9,1,0,0,69,345
P117,Esteban Mendoza,,B2B,ef3b0fa0270a20c45d063de3,cde5be3e08f9d61b505d18b2,2023-03-24,2022-12-15,3.23,4.37,1,9,103,0,12,211,207,1271,52,4,6,1,0,50,7,7,7,0,0,1,56,270
P118,Paola López,,B2B,ac05e1f38a3d2e9d6d686d4a,0d0769acc4b1473e509dcdc3,2025-04-07,2024-11-27,4.21,4.23,0,3,80,0,20,186,152,526,43,2,10,1,0,37,5,3,19,0,0,0,50,224
P119,Yeison Martínez,,B2B,39be08cd1f21af0385301bfa,717fd9577645761476f83b46,2026-02-21,2025-08-27,4.31,4.76,0,3,112,0,10,143,138,206,60,2,5,0,0,58,6,6,0,1,0,2,60,291
P120,Kevin Rojas,,B2B,4d9d23e0164307efcb137886,0ceb2bad85711d4529cb0c9e,2025-02-01,2024-11-13,4.43,3.77,1,5,122,0,10,241,222,591,56,3,5,1,0,55,2,1,24,2,0,1,69,329
P121,Esteban Torres,,B2B,b33a9dee6be1caccfc78ac14,d9681d9dbaebd5afcff97f39,2022-01-26,2021-09-21,3.31,4.07,1,1,18,0,4,36,33,1693,10,1,2,0,0,8,0,0,0,1,0,3,8,38
P122,Edwin Rojas,,B2B,a264429b6d5b33a62e78c308,0437aa14bae29f28cd5c5178,2022-04-30,2022-02-20,2.69,3.9,0,1,95,0,2,175,169,1599,46,1,1,1,0,41,9,9,4,1,0,3,47,219
P123,Daniela Gómez,,B2B,48257565207e481242ba44c3,09afa1eba0372d5428b9d060,2024-01-08,2023-12-20,4.75,4.15,0,10,128,0,20,250,250,981,67,5,10,0,0,63,7,7,23,2,0,2,71,348
P124,Ramiro Gómez,,B2B,7489def078036372d4bebcec,5cea813728aa34c8a2b68b9f,2025-10-28,2025-09-05,4.47,4.96,0,1,149,0,36,286,270,322,79,1,18,1,0,73,10,10,17,2,0,2,86,402
